city,coordinates
Новоалександровск,"[41.215388, 45.49331]"
Новоалтайск,"[83.931079, 53.412021]"
Новоаннинский,"[42.667083, 50.529606]"
Нововоронеж,"[39.215981, 51.3091]"
Новодвинск,"[40.82083, 64.413687]"
Новозыбков,"[31.933231, 52.536723]"
Новокубанск,"[41.043935, 45.103799]"
Новокузнецк,"[87.136053, 53.757553]"
Новокуйбышевск,"[49.947776, 53.099469]"
Новомичуринск,"[39.750865, 54.034574]"
Новомосковск,"[38.291057, 54.010914]"
Новопавловск,"[43.63191, 43.957369]"
Новоржев,"[29.332419, 57.029623]"
Новороссийск,"[37.768813, 44.723771]"
Новосибирск,"[82.92043, 55.030204]"
Новосиль,"[37.039947, 52.972377]"
Новосокольники,"[30.152896, 56.347424]"
Новотроицк,"[58.299683, 51.196355]"
Новоузенск,"[48.13538, 50.462479]"
Новоульяновск,"[48.384824, 54.151718]"
Новоуральск,"[60.095613, 57.247235]"
Новохопёрск,"[41.631461, 51.100286]"
Новочебоксарск,"[47.476807, 56.108738]"
Новочеркасск,"[40.093734, 47.422052]"
Новошахтинск,"[39.934705, 47.754315]"
Новый Оскол,"[37.863064, 50.764439]"
Новый Уренгой,"[76.680956, 66.084539]"
Ногинск,"[38.441866, 55.854476]"
Нолинск,"[49.935721, 57.559713]"
Норильск,"[88.210393, 69.343985]"
Ноябрьск,"[75.450938, 63.201805]"
Нурлат,"[50.804958, 54.428122]"
Нытва,"[55.328631, 57.939127]"
Нюрба,"[118.336617, 63.278463]"
Нягань,"[65.433393, 62.14681]"
Нязепетровск,"[59.595449, 56.053924]"
Няндома,"[40.197103, 61.661418]"
Облучье,"[131.05969, 49.020287]"
Обнинск,"[36.586459, 55.11202]"
Обоянь,"[36.267638, 51.209893]"
Обь,"[82.692859, 54.995307]"
Одинцово,"[37.263663, 55.679138]"
Озёрск,"[22.01353, 54.408513]"
Озёрск,"[60.707608, 55.763189]"
Озёры,"[38.559833, 54.854092]"
Октябрьск,"[48.670677, 53.164038]"
Октябрьский,"[53.46557, 54.481454]"
Окуловка,"[33.298679, 58.377145]"
Олёкминск,"[120.403084, 60.372981]"
Оленегорск,"[33.270104, 68.14046]"
Олонец,"[32.972043, 60.979719]"
Омск,"[73.368221, 54.989347]"
Омутнинск,"[52.177161, 58.66406]"
Онега,"[38.086655, 63.914485]"
Опочка,"[28.658926, 56.713993]"
Орёл,"[36.064358, 52.970756]"
Оренбург,"[55.096964, 51.768205]"
Орехово-Зуево,"[38.981601, 55.805842]"
Орлов,"[48.89284, 58.539037]"
Орск,"[58.474675, 51.2293]"
Оса,"[55.470169, 57.288394]"
Осинники,"[87.337078, 53.598754]"
Осташков,"[33.102873, 57.15605]"
Остров,"[28.352349, 57.342186]"
Островной,"[39.459352, 68.065779]"
Острогожск,"[39.082365, 50.860145]"
Отрадное,"[30.794553, 59.77409]"
Отрадный,"[51.348789, 53.376549]"
Оха,"[142.949163, 53.588974]"
Оханск,"[55.388656, 57.721935]"
Очёр,"[54.716096, 57.885268]"
Павлово,"[43.064848, 55.965103]"
Павловск,"[40.130439, 50.453624]"
Павловский Посад,"[38.650976, 55.78034]"
Палласовка,"[46.880407, 50.050172]"
Партизанск,"[133.123255, 43.11982]"
Певек,"[170.274369, 69.702974]"
Пенза,"[45.018316, 53.195042]"
Первомайск,"[43.801386, 54.867632]"
Первоуральск,"[59.943267, 56.905819]"
Перевоз,"[44.54494, 55.596854]"
Пересвет,"[38.173342, 56.415808]"
Переславль-Залесский,"[38.854382, 56.739194]"
Пермь,"[56.229443, 58.010455]"
Пестово,"[35.798107, 58.599071]"
Петров Вал,"[45.214203, 50.139571]"
Петровск,"[45.38994, 52.314028]"
Петровск-Забайкальский,"[108.853579, 51.276354]"
Петрозаводск,"[34.346878, 61.785021]"
Петропавловск-Камчатский,"[158.643503, 53.024265]"
Петухово,"[67.887384, 55.065035]"
Петушки,"[39.459352, 55.931104]"
Печора,"[57.223977, 65.148606]"
Печоры,"[27.609352, 57.813756]"
Пикалёво,"[34.177483, 59.512684]"
Пионерский,"[20.226898, 54.951415]"
Питкяранта,"[31.478108, 61.568362]"
Плавск,"[37.291987, 53.706843]"
Пласт,"[60.808408, 54.363281]"
Плёс,"[41.512263, 57.460583]"
Поворино,"[42.245585, 51.190773]"
Подольск,"[37.544997, 55.431136]"
Подпорожье,"[34.167952, 60.912097]"
Покачи,"[75.599753, 61.741652]"
Покров,"[39.175745, 55.918081]"
Покровск,"[129.148228, 61.48424]"
Полевской,"[60.236307, 56.495802]"
Полесск,"[21.109888, 54.862782]"
Полысаево,"[86.280901, 54.605443]"
Полярные Зори,"[32.500975, 67.365788]"
Полярный,"[33.437235, 69.197402]"
Поронайск,"[143.100852, 49.221421]"
Порхов,"[29.558813, 57.760294]"
Похвистнево,"[52.123038, 53.653394]"
Почеп,"[33.454267, 52.929135]"
Починок,"[32.43953, 54.405474]"
Пошехонье,"[39.120481, 58.503857]"
Правдинск,"[21.018817, 54.44634]"
Приволжск,"[41.28083, 57.380662]"
Приморск,"[20.006964, 54.729351]"
Приморск,"[28.613561, 60.366014]"
Приморско-Ахтарск,"[38.177654, 46.043509]"
Приозерск,"[30.115589, 61.035979]"
Прокопьевск,"[86.750055, 53.884493]"
Пролетарск,"[41.727544, 46.703855]"
Протвино,"[37.2151, 54.864969]"
Прохладный,"[44.01055, 43.75904]"
Псков,"[28.33246, 57.819274]"
Пугачёв,"[48.812036, 52.0119]"
Пудож,"[36.533, 61.80589]"
Пустошка,"[29.365918, 56.336788]"
Пучеж,"[43.16802, 56.982058]"
Пушкино,"[37.847164, 56.011318]"
Пущино,"[37.620986, 54.832484]"
Пыталово,"[27.923969, 57.06393]"
Пыть-Ях,"[72.837281, 60.758176]"
Пятигорск,"[43.070643, 44.039802]"
Радужный,"[40.332605, 55.995659]"
Радужный,"[77.458448, 62.134265]"
Райчихинск,"[129.411255, 49.794114]"
Раменское,"[38.225004, 55.567586]"
Рассказово,"[41.874302, 52.653848]"
Ревда,"[59.908718, 56.800084]"
Реж,"[61.391648, 57.373777]"
Реутов,"[37.85515, 55.760515]"
Ржев,"[34.334419, 56.263017]"
Родники,"[41.733366, 57.107152]"
Рославль,"[32.857498, 53.947229]"
Россошь,"[39.562632, 50.198256]"
Ростов,"[39.414526, 57.18587]"
Ростов-на-Дону,"[39.720358, 47.222078]"
Рошаль,"[39.862768, 55.663283]"
Ртищево,"[43.785657, 52.257455]"
Рубцовск,"[81.217673, 51.527623]"
Рудня,"[31.081763, 54.948013]"
Руза,"[36.192242, 55.703657]"
Рузаевка,"[44.94911, 54.058274]"
Рыбинск,"[38.855711, 58.04864]"
Рыбное,"[39.505463, 54.730812]"
Рыльск,"[34.681052, 51.571263]"
Ряжск,"[40.062894, 53.708949]"
Рязань,"[39.741917, 54.629565]"
Сакине призн.,"[33.993751, 45.3892]"
Салават,"[55.924681, 53.361651]"
Салаир,"[85.803016, 54.235132]"
Салехард,"[66.614507, 66.529866]"
Сальск,"[41.541503, 46.474898]"
Самара,"[50.100202, 53.195878]"
Санкт-Петербург,"[30.315877, 59.939099]"
Саранск,"[45.183938, 54.187433]"
Сарапул,"[53.803687, 56.461218]"
Саратов,"[46.034266, 51.533562]"
Саров,"[43.344853, 54.922793]"
Сасово,"[41.924087, 54.349933]"
Сатка,"[58.974578, 55.047456]"
Сафоново,"[33.23798, 55.106057]"
Саяногорск,"[91.412204, 53.100762]"
Саянск,"[102.180139, 54.11081]"
Светлогорск,"[20.156075, 54.944218]"
Светлоград,"[42.856637, 45.328573]"
Светлый,"[20.131093, 54.673268]"
Светогорск,"[28.865879, 61.113731]"
Свирск,"[103.342253, 53.066572]"
Свободный,"[128.134156, 51.375889]"
Себеж,"[28.484823, 56.277403]"
Севастопольне призн.,"[33.525135, 44.616495]"
Северо-Курильск,"[156.115734, 50.668701]"
Северобайкальск,"[109.335597, 55.636001]"
Северодвинск,"[39.823781, 64.563386]"
Североморск,"[33.417679, 69.076455]"
Североуральск,"[59.952161, 60.152394]"
Северск,"[84.880913, 56.60319]"
Севск,"[34.4951, 52.156089]"
Сегежа,"[34.312617, 63.743705]"
Сельцо,"[34.105923, 53.373966]"
Семёнов,"[44.49034, 56.789017]"
Семикаракорск,"[40.811505, 47.517798]"
Семилуки,"[39.020211, 51.69463]"
Сенгилей,"[48.790593, 53.962075]"
Серафимович,"[42.734017, 49.584141]"
Сергач,"[45.465228, 55.531035]"
Сергиев Посад,"[38.135972, 56.315311]"
Сердобск,"[44.202735, 52.455683]"
Серов,"[60.573588, 59.605395]"
Серпухов,"[37.416601, 54.913681]"
Сертолово,"[30.217179, 60.143531]"
Сибай,"[58.665665, 52.72039]"
Сим,"[57.687184, 54.988469]"
Симферопольне призн.,"[34.100327, 44.948237]"
Сковородино,"[123.943641, 53.987177]"
Скопин,"[39.54939, 53.82359]"
Славгород,"[78.648671, 52.997158]"
Славск,"[21.682088, 55.044345]"
Славянск-на-Кубани,"[38.12822, 45.260332]"
Сланцы,"[28.088145, 59.11779]"
Слободской,"[50.183674, 58.731886]"
Слюдянка,"[103.718845, 51.656501]"
Смоленск,"[32.045287, 54.782635]"
Снежинск,"[60.732707, 56.087303]"
Снежногорск,"[33.242148, 69.192567]"
Собинка,"[40.017736, 55.993379]"
Советск,"[21.888656, 55.081034]"
Советск,"[48.959521, 57.587599]"
Советск,"[37.626636, 53.932946]"
Советская Гавань,"[140.285128, 48.966446]"
Советский,"[63.566802, 61.370766]"
Сокол,"[40.099986, 59.460972]"
Солигалич,"[42.285973, 59.077595]"
Соликамск,"[56.770391, 59.649193]"
Солнечногорск,"[36.977631, 56.185107]"
Соль-Илецк,"[54.980031, 51.161986]"
Сольвычегодск,"[46.928089, 61.330589]"
Сольцы,"[30.309355, 58.120173]"
Сорочинск,"[53.161149, 52.431316]"
Сорск,"[90.253332, 54.002611]"
Сортавала,"[30.691633, 61.702943]"
Сосенский,"[35.966038, 54.059489]"
Сосновка,"[51.284334, 56.253757]"
Сосновоборск,"[93.335434, 56.120211]"
Сосновый Бор,"[29.09221, 59.904225]"
Сосногорск,"[53.873117, 63.600002]"
Сочи,"[39.723098, 43.585472]"
Спас-Деменск,"[34.018993, 54.409807]"
Спас-Клепики,"[40.17628, 55.131167]"
Спасск,"[43.187729, 53.926499]"
Спасск-Дальний,"[132.817568, 44.597647]"
Спасск-Рязанский,"[40.380988, 54.403896]"
Среднеколымск,"[153.707009, 67.458183]"
Среднеуральск,"[60.463419, 56.988855]"
Сретенск,"[117.696029, 52.243661]"
Ставрополь,"[41.96911, 45.043317]"
Старая Купавна,"[38.183143, 55.812206]"
Старая Русса,"[31.355461, 57.99072]"
Старица,"[34.933586, 56.514927]"
Стародуб,"[32.760355, 52.585277]"
Старый Крымне призн.,"[35.099316, 45.031865]"
Старый Оскол,"[37.833231, 51.297974]"
Стерлитамак,"[55.930825, 53.630403]"
Стрежевой,"[77.604011, 60.732867]"
Строитель,"[36.486998, 50.785172]"
Струнино,"[38.581402, 56.372263]"
Ступино,"[38.078237, 54.88628]"
Суворов,"[36.490348, 54.122088]"
Судакне призн.,"[34.976157, 44.850532]"
Суджа,"[35.269206, 51.190581]"
Судогда,"[40.856295, 55.949884]"
Суздаль,"[40.448757, 56.419333]"
Сунжа,"[45.047682, 43.320353]"
Суоярви,"[32.373325, 62.087946]"
Сураж,"[32.393043, 53.013891]"
Сургут,"[73.393032, 61.241778]"
Суровикино,"[42.844249, 48.60538]"
Сурск,"[45.6911, 53.076046]"
Сусуман,"[148.151657, 62.779444]"
Сухиничи,"[35.337981, 54.101551]"
Сухой Лог,"[62.035542, 56.905431]"
Сызрань,"[48.474611, 53.155669]"
Сыктывкар,"[50.836497, 61.668797]"
Сысерть,"[60.810034, 56.502286]"
Сычёвка,"[34.276055, 55.826746]"
Сясьстрой,"[32.561279, 60.137057]"
Тавда,"[65.272604, 58.041876]"
Таганрог,"[38.936694, 47.208735]"
Тайга,"[85.631024, 56.065143]"
Тайшет,"[98.002982, 55.940502]"
Талдом,"[37.527938, 56.730924]"
Талица,"[63.733394, 57.014273]"
Тамбов,"[41.45275, 52.721295]"
Тара,"[74.371981, 56.901838]"
Тарко-Сале,"[77.761055, 64.911823]"
Таруса,"[37.17959, 54.729127]"
Татарск,"[75.973371, 55.219447]"
Таштагол,"[87.848318, 52.763918]"
Тверь,"[35.91186, 56.859625]"
Теберда,"[41.741432, 43.443841]"
Тейково,"[40.535471, 56.85436]"
Темников,"[43.216089, 54.630972]"
Темрюк,"[37.365388, 45.282044]"
Терек,"[44.140267, 43.483865]"
Тетюши,"[48.835958, 54.928018]"
Тимашёвск,"[38.933973, 45.6142]"
Тихвин,"[33.542105, 59.644213]"
Тихорецк,"[40.123171, 45.852784]"
Тобольск,"[68.253995, 58.200891]"
Тогучин,"[84.402874, 55.238018]"
Тольятти,"[49.420411, 53.507852]"
Томари,"[142.063532, 47.761063]"
Томмот,"[126.287588, 58.95867]"
Томск,"[84.947649, 56.484645]"
Топки,"[85.615223, 55.276508]"
Торжок,"[34.960149, 57.041338]"
Торопец,"[31.643686, 56.495171]"
Тосно,"[30.875006, 59.541179]"
Тотьма,"[42.758873, 59.973487]"
Трёхгорный,"[58.44662, 54.814652]"
Троицк,"[61.559004, 54.082757]"
Трубчевск,"[33.766082, 52.579083]"
Туапсе,"[39.073382, 44.095245]"
Туймазы,"[53.694955, 54.600708]"
Тула,"[37.617348, 54.193122]"
Тулун,"[100.578047, 54.55712]"
Туран,"[93.923328, 52.142981]"
Туринск,"[63.690814, 58.052474]"
Тутаев,"[39.530714, 57.8688]"
Тында,"[124.73644, 55.149666]"
Тырныауз,"[42.921432, 43.398091]"
Тюкалинск,"[72.192299, 55.872385]"
Тюмень,"[65.541227, 57.152985]"
Уварово,"[42.261009, 51.983105]"
Углегорск,"[142.063343, 49.079433]"
Углич,"[38.319372, 57.526597]"
Удачный,"[112.306398, 66.40697]"
Удомля,"[35.005739, 57.871648]"
Ужур,"[89.844006, 55.32016]"
Узловая,"[38.160308, 53.97844]"
Улан-Удэ,"[107.584547, 51.834809]"
Ульяновск,"[48.403132, 54.314192]"
Унеча,"[32.670676, 52.845115]"
Урай,"[64.803225, 60.128955]"
Урень,"[45.799536, 57.463042]"
Уржум,"[50.005726, 57.109738]"
Урус-Мартан,"[45.541297, 43.130749]"
Урюпинск,"[41.995593, 50.79451]"
Усинск,"[57.55701, 65.994148]"
Усмань,"[39.736069, 52.043386]"
Усолье,"[56.684692, 59.427416]"
Усолье-Сибирское,"[103.637332, 52.757095]"
Уссурийск,"[131.952122, 43.797247]"
Усть-Джегута,"[41.971051, 44.083902]"
Усть-Илимск,"[102.733519, 57.942686]"
Усть-Катав,"[58.174709, 54.930289]"
Усть-Кут,"[105.74539, 56.780882]"
Усть-Лабинск,"[39.691225, 45.213657]"
Устюжна,"[36.42867, 58.842699]"
Уфа,"[55.958736, 54.735152]"
Ухта,"[53.663999, 63.566006]"
Учалы,"[59.379152, 54.316497]"
Уяр,"[94.328306, 55.813177]"
Фатеж,"[35.860935, 52.089598]"
Феодосияне призн.,"[35.383911, 45.026654]"
Фокино,"[34.415923, 53.455436]"
Фокино,"[132.410936, 42.97407]"
Фролово,"[43.649185, 49.765605]"
Фрязино,"[38.042808, 55.961339]"
Фурманов,"[41.106189, 57.252601]"
Хабаровск,"[135.071917, 48.480229]"
Хадыженск,"[39.537326, 44.422804]"
Ханты-Мансийск,"[69.046866, 61.035726]"
Харабали,"[47.249713, 47.40307]"
Харовск,"[40.206319, 59.950745]"
Хасавюрт,"[46.585526, 43.248524]"
Хвалынск,"[48.105772, 52.495506]"
Хилок,"[110.459021, 51.363406]"
Химки,"[37.444853, 55.889361]"
Холм,"[31.181835, 57.148835]"
Холмск,"[142.042017, 47.040819]"
Хотьково,"[37.978803, 56.252147]"
Цивильск,"[47.465309, 55.864899]"
Цимлянск,"[42.104783, 47.646955]"
Циолковский,"[128.122514, 51.762324]"
Чадан,"[91.567406, 51.28294]"
Чайковский,"[54.14881, 56.778081]"
Чапаевск,"[49.710217, 52.981709]"
Чаплыгин,"[39.966999, 53.240555]"
Чебаркуль,"[60.37012, 54.97779]"
Чебоксары,"[47.247728, 56.139918]"
Чегем,"[43.586725, 43.57038]"
Чекалин,"[36.247219, 54.098526]"
Челябинск,"[61.402554, 55.159902]"
Чердынь,"[56.482166, 60.401192]"
Черемхово,"[103.090096, 53.136917]"
Черепаново,"[83.37221, 54.228417]"
Череповец,"[37.90347, 59.122612]"
Черкесск,"[42.048279, 44.228374]"
Чёрмоз,"[56.152296, 58.778827]"
Черноголовка,"[38.378248, 56.009849]"
Черногорск,"[91.306005, 53.827013]"
Чернушка,"[56.07637, 56.516015]"
Черняховск,"[21.819503, 54.630706]"
Чехов,"[37.454357, 55.14235]"
Чистополь,"[50.643575, 55.372339]"
Чита,"[113.501049, 52.033635]"
Чкаловск,"[43.251105, 56.766257]"
Чудово,"[31.678136, 59.121666]"
Чулым,"[80.963288, 55.091263]"
Чусовой,"[57.808053, 58.305058]"
Чухлома,"[42.688481, 58.753399]"
Шагонар,"[92.919981, 51.534711]"
Шадринск,"[63.629747, 56.087042]"
Шали,"[45.903956, 43.153444]"
Шарыпово,"[89.18016, 55.53909]"
Шарья,"[45.518264, 58.369854]"
Шатура,"[39.544575, 55.577577]"
Шахты,"[40.215401, 47.709237]"
Шахунья,"[46.612933, 57.676341]"
Шацк,"[41.713073, 54.023558]"
Шебекино,"[36.879319, 50.404344]"
Шелехов,"[104.097395, 52.210209]"
Шенкурск,"[42.899612, 62.105654]"
Шилка,"[116.032735, 51.85262]"
Шимановск,"[127.676132, 51.999509]"
Шиханы,"[47.202327, 52.11478]"
Шлиссельбург,"[31.034754, 59.944959]"
Шумерля,"[46.417846, 55.497934]"
Шумиха,"[63.28571, 55.228726]"
Шуя,"[41.384622, 56.854404]"
Щёкино,"[37.518165, 54.001574]"
Щёлкиноне призн.,"[35.824849, 45.429063]"
Щёлково,"[37.991532, 55.92022]"
Щигры,"[36.912341, 51.873243]"
Щучье,"[62.747862, 55.208836]"
Электрогорск,"[38.78037, 55.879864]"
Электросталь,"[38.444858, 55.78445]"
Электроугли,"[38.214772, 55.716818]"
Элиста,"[44.269759, 46.307743]"
Энгельс,"[46.124052, 51.50105]"
Эртиль,"[40.799252, 51.835733]"
Югорск,"[63.331964, 61.314917]"
Южа,"[42.011843, 56.583698]"
Южно-Сахалинск,"[142.729587, 46.957771]"
Южно-Сухокумск,"[45.651017, 44.659128]"
Южноуральск,"[61.268237, 54.442455]"
Юрга,"[84.933878, 55.713557]"
Юрьев-Польский,"[39.680823, 56.49925]"
Юрьевец,"[43.110842, 57.318321]"
Юрюзань,"[58.425276, 54.853677]"
Юхнов,"[35.226464, 54.741525]"
Ядрин,"[46.202107, 55.940689]"
Якутск,"[129.732178, 62.027221]"
Ялтане призн.,"[33.993751, 45.3892]"
Ялуторовск,"[66.312215, 56.654694]"
Янаул,"[54.929833, 56.264962]"
Яранск,"[47.885855, 57.304233]"
Яровое,"[78.580049, 52.919743]"
Ярославль,"[39.893813, 57.626559]"
Ярцево,"[32.688292, 55.066123]"
Ясногорск,"[37.693354, 54.479293]"
Ясный,"[59.874088, 51.035711]"
Яхрома,"[37.483858, 56.28989]"
Ракитное,"[35.831389, 50.834383]"
Ютановка,"[37.796768, 50.4909]"
Вейделевка,"[38.444499, 50.151497]"
Дмитриевка,"[35.993014, 50.774265]"
Ровеньки,"[38.891985, 49.914716]"
Чернянка,"[37.804134, 50.940917]"
Борисовка,"[36.009085, 50.607918]"
Майский,"[36.455233, 50.523238]"
Комаричи,"[34.784097, 52.419009]"
Кокино,"[34.123027, 53.154935]"
Локоть,"[34.577036, 52.560927]"
Климово,"[32.197327, 52.379539]"
Мичуринский,"[34.235424, 53.274777]"
Никологоры,"[41.993895, 56.140479]"
Муромцево,"[40.912063, 55.930907]"
Новоалександрово,"[40.263542, 56.221324]"
Мстера,"[41.926198, 56.375339]"
Новохоперск,"[41.631461, 51.100286]"
Анна,"[40.426317, 51.485932]"
Верхнеозерский,"[40.694024, 51.040032]"
Заброды,"[41.04328, 50.413472]"
Новая Усмань,"[39.410268, 51.643447]"
Слобода,"[40.29351, 51.13569]"
Березово,"[39.354339, 51.932767]"
Северцево,"[41.490928, 57.453514]"
Холуй,"[41.870448, 56.577407]"
Детчино,"[36.310236, 54.80963]"
Анфимово,"[42.703411, 58.726738]"
Караваево,"[41.075457, 57.738662]"
Калиновка,"[34.51118, 51.896474]"
Коммунар,"[37.738602, 51.850795]"
Свобода,"[36.304738, 51.973774]"
Коренево,"[34.893305, 51.409688]"
Медвенка,"[36.109148, 51.419546]"
Пристень,"[36.696521, 51.236366]"
Солнцево,"[36.752594, 51.4118]"
Тим,"[37.122448, 51.621689]"
имени Карла Либкнехта,"[35.479339, 51.623467]"
Конь-Колодезь,"[39.16351, 52.135409]"
Агроном,"[39.020525, 53.040294]"
Тербуны,"[38.279963, 52.147475]"
Добринка,"[40.472221, 52.166741]"
Щелково,"[37.991532, 55.92022]"
Королев,"[37.815211, 55.918953]"
Ивановское,"[37.840112, 55.076278]"
Красная Пойма,"[39.081889, 55.003105]"
Строитель,"[36.058771, 55.498296]"
Ликино-Дулево,"[38.958712, 55.707086]"
Новый Быт,"[37.605122, 55.059817]"
Заболотье,"[37.673618, 55.450149]"
Долгое Ледово,"[37.975596, 55.854966]"
Красково,"[37.98846, 55.658886]"
Электроизолятор,"[38.501137, 55.586237]"
Черкизово,"[38.740413, 55.202234]"
Серебряные Пруды,"[38.727863, 54.474303]"
Богородское,"[38.180097, 56.496115]"
Рыбное,"[37.619782, 56.41525]"
Большие Вяземы,"[36.99442, 55.628586]"
Мещерское,"[37.626385, 55.276052]"
Озеры,"[38.559833, 54.854092]"
Дорохово,"[36.376164, 55.550932]"
Тучково,"[36.47187, 55.600857]"
Федоскино,"[37.58031, 56.052376]"
Шаховская,"[35.510394, 56.031171]"
Орел,"[36.064358, 52.970756]"
Техникумовский,"[36.355844, 52.470514]"
Плещеево,"[36.078327, 53.025965]"
Покровское,"[36.870641, 52.607847]"
Русский Брод,"[37.366394, 52.601361]"
Сосково,"[35.386445, 52.748434]"
Стрелецкий,"[35.973655, 53.011729]"
Кадом,"[42.467244, 54.559078]"
Сараи,"[41.00953, 53.738059]"
Инякино,"[41.113052, 54.434239]"
Авторемзавод,"[31.684901, 54.759711]"
Верхнеднепровский,"[33.344969, 54.981397]"
Козловка,"[32.404604, 54.169706]"
Строитель,"[41.450028, 52.649155]"
Голынщина,"[42.713401, 52.671489]"
Совхоза Селезневский,"[41.168891, 52.817912]"
Турмасово,"[40.549781, 52.946822]"
Инжавино,"[42.4952, 52.318251]"
Сампур,"[41.624571, 52.310873]"
Новиково,"[40.597015, 53.332311]"
Вышний Волочек,"[34.558836, 57.584174]"
Калашниково,"[35.224541, 57.279735]"
Максатиха,"[35.869864, 57.795725]"
Сандово,"[36.410946, 58.462857]"
Красномайский,"[34.414818, 57.62227]"
Селижарово,"[33.451986, 56.855487]"
Селиваново,"[37.253072, 53.991994]"
Щекино,"[37.518165, 54.001574]"
Чернь,"[36.907912, 53.451221]"
Первомайский,"[37.503837, 54.036483]"
Белев,"[36.130097, 53.810152]"
Борисоглебский,"[39.153323, 57.260969]"
Великое,"[39.773924, 57.349073]"
Тихменево,"[38.612043, 57.989723]"
Никольское,"[38.63531, 57.596552]"
Пречистое,"[40.318456, 58.429344]"
Красноборск,"[45.944111, 61.55949]"
Октябрьский,"[43.171829, 61.089321]"
Ломоносово,"[41.73227, 64.229093]"
Березни,"[42.719482, 62.85192]"
Вычегодский,"[46.882679, 61.248149]"
Пинега,"[43.3917, 64.697615]"
Плесецк,"[40.281194, 62.710039]"
Шипицыно,"[46.518745, 61.280907]"
Двинской,"[45.117804, 62.154774]"
Североонежск,"[39.840471, 62.590793]"
Кадуй,"[37.149963, 59.199472]"
Молочное,"[39.676897, 59.289043]"
Кубенское,"[39.67034, 59.433979]"
Сазоново,"[35.22482, 59.097336]"
Шексна,"[38.501353, 59.20654]"
Бор,"[33.792357, 59.473563]"
Мичуринское,"[29.871876, 60.564878]"
Бегуницы,"[29.30494, 59.58506]"
Беседа,"[28.969985, 59.357677]"
Лисино-Корпус,"[30.659806, 59.427952]"
Сиверский,"[30.067071, 59.354888]"
Никель,"[30.210065, 69.410035]"
Ловозеро,"[35.014156, 68.00466]"
Умба,"[34.344183, 66.684763]"
Панковка,"[31.20238, 58.497509]"
Егла,"[33.981992, 58.318262]"
Крестцы,"[32.522822, 58.247673]"
Лычково,"[32.405466, 57.915867]"
Хвойная,"[34.530781, 58.896724]"
Нагорный,"[30.474627, 56.334517]"
Дедовичи,"[29.939717, 57.547341]"
Идрица,"[28.891805, 56.333395]"
Выльгорт,"[50.768369, 61.626965]"
Визинга,"[50.085614, 61.075886]"
Усогорск,"[48.7067, 63.429314]"
Савали,"[50.634835, 56.536356]"
Кумены,"[49.903076, 58.103851]"
Санчурск,"[47.260421, 56.944253]"
Знаменка,"[47.83166, 57.245136]"
Бобино,"[49.764053, 58.69734]"
Свеча,"[47.510162, 58.277721]"
Уни,"[51.48942, 57.755281]"
Красная Поляна,"[51.147413, 56.241819]"
Оричи,"[49.059729, 58.40133]"
Вахруши,"[50.026415, 58.684661]"
Спасское,"[45.695834, 55.858049]"
Большое Болдино,"[45.310861, 55.00359]"
Коленово,"[45.108156, 57.404768]"
Крутцы,"[45.733851, 57.859335]"
Ульяново,"[44.399736, 55.048895]"
Ардатов,"[43.095885, 55.239147]"
Пильна,"[45.919452, 55.55501]"
Починки,"[44.861964, 54.697714]"
Волжский,"[44.571503, 56.046519]"
Семенов,"[44.49034, 56.789017]"
Сеченово,"[45.888676, 55.224449]"
Сокольское,"[43.159746, 57.141617]"
Шатки,"[44.127987, 55.188041]"
Сосновское,"[43.168307, 55.804369]"
Красные Баки,"[45.166619, 57.127364]"
Вад,"[44.20923, 55.531468]"
Гагино,"[45.031323, 55.230513]"
Тонкино,"[46.457444, 57.372544]"
Шаранга,"[46.544365, 57.177128]"
Подгородняя Покровка,"[54.97615, 51.831971]"
Акбулак,"[55.619263, 51.004293]"
Ташла,"[52.743055, 51.768076]"
Шарлык,"[54.741348, 52.925998]"
Адамовка,"[59.93582, 51.51975]"
Новоорск,"[58.986337, 51.382956]"
Энергетик,"[58.795813, 51.743663]"
Илек,"[53.375154, 51.531814]"
Плешаново,"[53.488926, 52.845213]"
Кичкасс,"[54.407956, 52.31639]"
Чебеньки,"[55.703965, 51.93772]"
Покровка,"[53.874707, 51.98986]"
Саракташ,"[56.357759, 51.782136]"
Первомайский,"[51.641055, 51.903798]"
Мокшан,"[44.608109, 53.440114]"
Сосновоборск,"[46.247184, 53.299168]"
Беково,"[43.707737, 52.458964]"
Русский Камешкир,"[46.087536, 52.860048]"
Колышлей,"[44.530944, 52.697617]"
Лунино,"[45.227605, 53.595382]"
Шемышейка,"[45.397881, 52.889919]"
Очер,"[54.716096, 57.885268]"
Садоягодное,"[56.962909, 57.348626]"
Зюкайка,"[54.711722, 58.204913]"
Барда,"[55.591451, 56.927192]"
Большая Соснова,"[54.603879, 57.66799]"
Елово,"[54.923095, 57.053872]"
Куеда,"[55.591352, 56.430106]"
Снежное,"[57.179502, 56.503155]"
Уинское,"[56.585724, 56.879555]"
Ильинский,"[55.683142, 58.572666]"
Карагай,"[54.928422, 58.266211]"
Частые,"[54.971649, 57.291711]"
Михайловка,"[55.889629, 54.807658]"
Исянгулово,"[56.573839, 52.192177]"
Ким,"[54.612188, 53.897122]"
Верхнеяркеево,"[54.306914, 55.451624]"
Аскино,"[56.578753, 56.085555]"
Каран,"[55.917054, 52.926812]"
Дуван,"[57.903068, 55.699416]"
